Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Governing Law,Governing Law-Answer,Termination For Convenience,Termination For Convenience-Answer,Exclusivity,Exclusivity-Answer,Revenue/Profit Sharing,Revenue/Profit Sharing-Answer,Post-Termination Services,Exact_Law,Discrepancy
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['the Customer', 'ESPACIO INFORMATION TECHNOLOGY, SA.', 'EIT', 'SILICON SMELTERS << Pty >> Ltd']","SLICON SMELTERS PTY LTD (""Customer""); ESPACIO INFORMATION TECHNOLOGY, SA. (""EIT"")","['The present Agreement is effective as from 1 January 2009', '1st day of January, 2009,']",1/1/09,[],,['It is established by calendar year and renewed tacitly every year.'],successive 1 year,"['This Agreement shall be governed by, and construed in accordance with the laws of Spain.']",Spain,"['The Agreement rests, for all that, cancellable at any time by any of the parties before the expiry date of the Agreement or any of itsrenewals, upon three months prior written notice.']",Yes,[],No,[],No,[],Civil Law,"The document does not specify an expiration date for the agreement, which may lead to uncertainty regarding the duration of the contract."
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,['Outsourcing Contract on Development of Miaoli Royal Resort Hotel'],Outsourcing Contract on Development of Miaoli Royal Resort Hotel,"['Party A', 'Party B', 'The HUANG JIA Country CLUB and Recreation Inc.', 'Chang Chen- Bin Architects Office']","The HUANG JIA Country CLUB and Recreation Inc. (""Party A""); Chang Chen-Bin Architects Office (""Party B"")",[],,[],,[],,"['Should either Party herein initiate a legal proceeding for revoking any arbitration result regarding the Contract, both Parties herein agree to take the Miaoli District Court of Taiwan as the competent court of first instance pursuant to the laws of the R.O.C..']",Taiwan,[],No,[],No,[],No,[],Taiwan Civil Law,"The Effective Date, Expiration Date, Renewal Term, Termination For Convenience, Exclusivity, Revenue/Profit Sharing, and Post-Termination Services details are not provided in the contract."
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement.pdf,['Outsourcing Agreement'],Outsourcing Agreement,"['CARBOGEN AMCIS AG', 'Customer', 'Paratek Pharmaceuticals, Inc.', '""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party']","Paratek Pharmaceuticals, Inc. (""Customer""); CARBOGEN AMCIS AG (“Supplier” and, collectively with Customer, the “Parties”, and each, a “Party)","['December 30, 2016']",12/30/16,"['This Agreement shall commence on the Effective Date and shall be valid until the [* * *] (the ""Initial Term"").']",,"['Should the Parties have not agreed to the following agreement by [* * *], this Agreement shall automatically stay in force for a maximum of [* * *] (unless otherwise mutually agreed by the Parties or as otherwise set forth in Section 18.1(a)) or until the Parties have signed the follow-on agreement (the ""Renewal Term"").']",,"['This Agreement shall be governed by and construed in accordance with the substantive Laws of the [* * *], excluding any rules of conflicts of laws that would apply the substantive laws of any other jurisdiction.']",,"['Customer shall have the right to terminate any Scope of Work and corresponding Purchase Order for Services at any time on reasonable advance written notice to Supplier (without terminating this Agreement), in which case Customer shall be responsible for:\n\n[* * *]']",Yes,[],No,[],No,"[""On expiration or the effective date of termination of this Agreement, if earlier:<omitted>e) Supplier shall promptly cooperate with Customer to transfer and transition supply of the Products to a Third Party supplier. Upon Customer's request, Supplier shall cooperate with Customer in the transfer of technology and know-how necessary to Manufacture Products to such Third Party supplier, including providing Customer and the Third Party supplier with reasonable access to the Facilities and consulting services related to Manufacturing of the Product. Supplier shall conduct such activities at Customer's expense paid in advance."", 'For the avoidance of doubt, any signed Purchase Order which has not been completed at the date of expiry shall continue in effect unless cancelled in accordance with Section 6.4 or Article 18.', 'On expiration or earlier termination of this Agreement, unless otherwise instructed by Customer, Supplier shall, within [* * *], return to Customer all samples or other supplies of the Product (for which Supplier has been paid) in its possession or control in any form, with the exception of any samples such as retention samples that Supplier may be required to keep according to Applicable Law']",Contract Act,"The details do not explicitly mention the governing law applicable to the contract, as the placeholder [* * *] is used in place of the actual law. The document should provide the specific governing law rather than utilizing placeholders."
PhotronicsInc_20171219_10-QA_EX-10.28_10982650_EX-10.28_Outsourcing Agreement.pdf,['OUTSOURCING AGREEMENT'],OUTSOURCING AGREEMENT,"['Xiamen American Japan Photronics Mask Co., Ltd.', 'Photronics, Inc.', 'Each of Photronics and DNP is hereinafter referred to as a ""Shareholder"" and collectively as the ""Shareholders"", each of the Shareholders and PDMC is hereinafter referred to as a ""Supplier"" and collectively as the ""Suppliers"", and each of the Suppliers and the Company is hereinafter referred to as a ""Party"" and collectively as the ""Parties.""', 'Photronics DNP Photomask Corporation', 'Photronics', 'PDMC', 'Company', 'Dai Nippon Printing Co., Ltd.', 'DNP']","Photronics, Inc. (“Photronics”); Dai Nippon Printing Co., Ltd. (“DNP”); Photronics DNP Photomask Corporation (“PDMC”); Xiamen American Japan Photronics Mask Co., Ltd. (""Company""); Phototronics and DNP (""Shareholder"" and collectively as ""Shareholders""); Shareholder and PDMC (""Supplier"" and collectively as the Suppliers"")",[],,"['This Agreement shall become effective as of the Effective Date and shall continue to be in full force and effect for so long as Photronics and DNP, or any of their Affiliates, each remains a Shareholder of the Company.']",perpetual,[],,[],,[],No,[],No,[],No,[],"This agreement would likely fall under contract law principles. However, based on the provided details, a specific governing law is not explicitly mentioned within the contract.",
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,['COLOGUARD® PROMOTION AGREEMENT'],COLOGUARD® PROMOTION AGREEMENT,"['Exact', 'Exact Sciences Corporation', 'Pfizer and Exact may each be referred to herein individually as a ""Party"" and collectively as the ""Parties"".', 'Pfizer', 'Pfizer Inc.']","Pfizer Inc. (“Pfizer”); Exact Sciences Corporation (""Exact"") (""Party"" and collectively as the ""Parties"")","['August 21, 2018']",8/21/18,"['This Agreement shall be effective as of the Effective Date and shall continue in effect through December 31, 2021 and any Renewal Term (the ""Term""), unless terminated earlier as set forth herein.']",12/31/21,[],,"['This Agreement shall be governed by and interpreted in accordance with the substantive laws of the State of New York, without regard to conflict of law principles thereof.']",New York,"['After the date that is eighteen (18) months after the Effective Date, either Party may terminate this Agreement upon six (6) months prior written notice to the other Party.']",Yes,"['Subject to compliance by Pfizer with the terms of this Section 3.2(d), during the Term, Exact agrees (A) not to enter into any new binding arrangement with any media vendor for Advertising of the Product without the written consent of Pfizer, which consent shall not be unreasonably withheld, (B) not to meet with any advertising agency or media vendor to discuss any Advertising proposals for content development and creative direction of the Product, without providing Pfizer with a reasonable opportunity for a representative of Pfizer present and participate and (C) to promptly inform Pfizer if it enters into any arrangement with any advertising agency with respect to the Product.', 'Commencing on the Launch Date, Exact and its Affiliates hereby grant to Pfizer and its Affiliates, on an exclusive basis for the Co-Promote Field (except as to Exact and its Affiliates), and Pfizer accepts, the right and obligation to Promote and Detail the Product in the Territory during the Term jointly with Exact, in accordance with the terms and conditions of this Agreement, all Applicable Laws and the applicable Annual Marketing Plan.']",Yes,"['From the Launch Date and ending on the last day of the next Calendar Quarter and each subsequent Calendar Quarter during the Term, Exact shall owe Pfizer a service fee equal to fifty percent (50%) of the product of: Laboratory Service Revenue minus Baseline Laboratory Service Revenue (""Incremental Laboratory Service Revenue"") for the Calendar Quarter multiplied by Gross Margin Percent for the Calendar Quarter (such product, the ""Promotion Fee"").', 'Royalty payments shall be determined by multiplying the Laboratory Services Revenue and the applicable royalty rate from the chart below. Cumulative Incremental Laboratory Services Revenue during the Term Applicable Royalty Rate If < $200 million 0% If > $200 million and < $400 million 1% If > $400 million and < $600 million 2% If > $600 million 3%', 'After the expiration of the Term or termination pursuant to Section 8.4 by either Party or Section 8.6 by Exact, based on cumulative Incremental Laboratory Services Revenue achieved during the Term or up to the termination date, Exact agrees to pay Pfizer the applicable royalty payment set forth below for twelve (12) consecutive Calendar Quarters following the expiration of the Term (the ""Tail Period""); provided, however, the Tail Period shall be reduced to the number of full Calendar Quarters completed during the Term if less than twelve (12) Calendar Quarters if either Party terminates the Agreement without cause pursuant to Section 8.4 or Exact terminates as a result of a Change of Control pursuant to Section 8.6.', 'Subject to Pfizer\'s compliance with Sections 3.4(a)(i) and 3.4(a)(ii), (A) Exact shall pay Pfizer the amount, if any, by which the aggregate amount of the Promotion Fee incurred by Exact to Pfizer during the remainder of 2018 Calendar Year and 2019 Calendar Year (the ""First Promotion Fee Period"") is less than $37.5 million (the ""First Supplemental Promotion Fee""), and (B) Exact shall pay Pfizer the amount, if any, by which the aggregate Promotion Fee incurred by Exact to Pfizer during each of Calendar Year 2020 and 2021 is less than $30 million (""Annual Supplemental Promotion Fee""), in each case to compensate Pfizer for the sales, Marketing and other performance provided by Pfizer under this Agreement.', 'Such royalty payment shall be payable to Pfizer within thirty (30) days of the end of each Calendar Quarter.']",Yes,"['Exact shall use commercially reasonable efforts to provide six (6) month notice prior to the expiry of the Term, or in the case of termination by Pfizer under Section 8.4, within the applicable notice period in advance of the effective date of such termination, that Exact intends for Pfizer to continue providing Advertising services for the Product pursuant to Section 3.2(d).', 'After the expiration of the Term or termination pursuant to Section 8.4 by either Party or Section 8.6 by Exact, based on cumulative Incremental Laboratory Services Revenue achieved during the Term or up to the termination date, Exact agrees to pay Pfizer the applicable royalty payment set forth below for twelve (12) consecutive Calendar Quarters following the expiration of the Term (the ""Tail Period""); provided, however, the Tail Period shall be reduced to the number of full Calendar Quarters completed during the Term if less than twelve (12) Calendar Quarters if either Party terminates the Agreement without cause pursuant to Section 8.4 or Exact terminates as a result of a Change of Control pursuant to Section 8.6.']",New York,Renewal Term details are missing.
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement.pdf,['CO-PROMOTION AGREEMENT'],CO-PROMOTION AGREEMENT,"['Dova Pharmaceuticals, Inc.', 'Dova', 'Valeant Pharmaceuticals North America LLC', 'Valeant', 'Dova and Valeant are each referred to individually as a ""Party"" and together as the ""Parties"".']","Dova Pharmaceuticals, Inc. (""Dova""); Valeant Pharmaceuticals North America LLC (""Valeant"")(""Party"" and together as the ""Parties"")","['September 26, 2018<omitted>""Effective Date"" shall have the meaning set forth in the preamble to this Agreement.', 'September 26, 2018']",9/26/18,"['This Agreement shall become effective as of the Effective Date and, unless earlier terminated as provided in this ARTICLE 12, shall extend until the four (4) year anniversary of the Effective Date (the ""Term"").']",9/26/22,[],,"['This Agreement and any and all matters arising directly or indirectly herefrom shall be governed by and construed and enforced in accordance with the internal laws of the [***] applicable to agreements made and to be performed entirely in such state, including its statutes of limitation but without giving effect to the conflict of law principles thereof.']",[* * *],['Either Party shall have the right to terminate this Agreement before the end of the Term for its convenience upon [***] written notice to the other Party (and any such termination shall become effective at the end of such [***]); [***].'],Yes,"['During the Term, subject to the terms and conditions of this Agreement, Dova hereby grants to Valeant the right, on a co-exclusive basis (solely with Dova and its Affiliates), to Detail and promote the Product in the Specialty in the Territory in the Field, and to conduct the Valeant Activities and the activities of the institutional account management team (pursuant to and subject to the terms of Section 4.1.5) for the Product in the Territory in the Field in accordance with the terms and conditions of this Agreement.']",Yes,"['If the aggregate actual number of Details for the Product made by the Sales Representatives for a Calendar Quarter is less than the Quarterly Minimum Details for such Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***].', 'If the Quarterly Average Sales Force Size is less than [***] Sales Representatives for an applicable Calendar Quarter, then in calculating the promotion fee due under Section 6.1.1, the Applicable Percentage for such Calendar Quarter shall be reduced to a new percentage equal to [***].', 'Commencing with the Calendar Quarter commencing on October 1, 2018, as consideration for the Valeant Activities performed by Valeant, Dova shall pay Valeant a promotion fee based on annual Net Sales during the Term, calculated as follows:\n\n(a) For any portion of Net Sales up to and equal [***] in a Calendar Year, an amount equal to [***] of such portion of Net Sales;\n\n(b) For any portion of Net Sales in excess of [***] and up to and equal [***] in a Calendar Year, an amount equal to [***] of such portion of Net Sales; and\n\n(c) For any portion of Net Sales in excess of [***] in a Calendar Year, [***] of such portion of Net Sales.']",Yes,[],"This agreement is governed by the internal laws of a specific state, which has been redacted in the details provided. It does not specify a particular legal framework such as the 'Contract Act', 'Commercial Code', 'Consumer Protection Act', or 'Civil Law'.",
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,['PROMOTION AGREEMENT'],PROMOTION AGREEMENT,"['Promoter', 'BookingEntertainment.com', 'VNUE, Inc.', 'VNUE']","BookingEntertainment.com (""Promoter""); VNUE, Inc. (""VNUE"")","['September 10, 2015']",9/10/15,"['This Agreement shall commence on September 10, 2015 and shall continue for One (1) Year (the ""Term"").']",9/10/16,"['At any time prior to the end of the Term, the Parties may agree in writing to extend the Agreement for successive One (1) Year periods (the ""Renewal Terms"") under the same conditions set forth herein.']",successive 1 year,['This Agreement shall be governed by and construed in accordance with the laws of the State of Nevada without giving effect to choice of law doctrine.'],Nevada,[],No,[],No,"['Three Million (3,000,000) shares of VNUE common stock shall be awarded to Promoter for performing Promotion Services as follows:<omitted>For every Five (5) music venues that sign a contract with VNUE, Six Hundred Thousand (600,000) shares of VNUE common stock shall be awarded to Promoter;   and   If Ten (10) music venues sign a contract with VNUE before January 16, 2016, Promoter will receive an additional bonus of Three Hundred Thousand (300,000) shares of VNUE common stock.']",Yes,[],'Contract Act',"There is a discrepancy in the provided details regarding Termination For Convenience and Exclusivity clauses. The contract details do not explicitly mention these clauses, so it is unclear if they are included or not."
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,['PROMOTION AGREEMENT'],PROMOTION AGREEMENT,"['MMT', 'SIGA', 'SIGA and MMT are sometimes referred to individually as a ""Party"" and collectively as the ""Parties"". RECITALS', 'MERIDIAN MEDICAL TECHNOLOGIES, INC.', 'SIGA TECHNOLOGIES, INC.']","SIGA TECHNOLOGIES, INC. (""SIGA""); MERIDIAN MEDICAL TECHNOLOGIES, INC. (""MMT"")(""Party"" and collectively as the ""Parties"")","['May 31, 2019']",5/31/19,"['This Agreement becomes effective on the Effective Date and, unless earlier terminated as provided in this ARTICLE 11, shall continue until the five (5) year anniversary of the Effective Date (the ""Initial Term"").']",5/31/24,"['This Agreement shall be automatically renewed for successive three (3) year terms thereafter (each a ""Renewal Term"" and together with the Initial Term, the ""Term"") until and unless (i) either Party provides the other Party written notice of non-renewal no later than ninety (90) days prior the end of the Initial Term or any Renewal Term or (ii) earlier terminated as provided in this ARTICLE 11.']",successive 3 years,"['This Agreement and all disputes arising out of or related to this Agreement or any breach hereof are governed by and construed under the Laws of the State of New York, without giving effect to any choice of law principles that would require the application of the Laws of a different state.']",New York,"[""Notwithstanding any other provision of this Agreement, MMT may at any time terminate this Agreement on country-by-country basis, or in its entirety, upon [***] months' prior written notice to SIGA.""]",Yes,"['As of the Effective Date, there are no rights with respect to the Product or the SIGA Trademarks in the Territory granted by SIGA, in each case, to any Person or entity other than MMT;', 'Subject to the terms and conditions of this Agreement, SIGA hereby grants to MMT an exclusive right and license, with the right to grant sublicenses as permitted under Section 2.1(b), under the SIGA Intellectual Property solely to Promote the Product in the Field in the Territory.', 'The license granted by SIGA to MMT under this Section 2.1(a) will be exclusive even as to SIGA with respect to rights to Promote the Product in the Field in the Territory, except as set forth in Section 2.4 below.']",Yes,"['In consideration for the services provided by MMT hereunder, commencing with the First Commercial Sale of the Product in the Territory, MMT shall be entitled to retain a fee (the ""Promotion Fee"") of: (i) [***] of the Yearly Collected Revenue of the Product in the Territory in each Calendar Year during the Term if the aggregate Net Product Sales Amounts for such Calendar Year are equal to or below [***]; and (ii) [***] of the Yearly Collected Revenue of the Product in the Territory in each Calendar Year during the Term if the aggregate Net Product Sales Amounts for such Calendar Year exceed [***].', ""In satisfaction of MMT's rights to the Promotion Fee, MMT shall retain from each payment to SIGA of the Quarterly Collected Revenue an amount equal to (i) [***] of the Quarterly Collected Revenue in the Territory during such Calendar Quarter so long as the total Net Product Sales Amounts in the Territory during the relevant Calendar Year are equal to or below [***] and (ii) [***] of the Quarterly Collected Revenue in the Territory during such Calendar Quarter where the total Net Product Sales Amounts in the Territory during the relevant Calendar Year exceeds [***] and (iii) any Credit Amounts."", 'If the Net Product Sales Amounts in the Territory exceeds [***] during any Calendar Year after any Quarterly Payment has been made, MMT shall automatically accrue a credit of [***] (the ""Credit Amount"") (representing the additional [***] fee that MMT would be entitled to receive with respect to the first [***] of the Quarterly Collected Revenue as a result of total Net Product Sales Amounts in the relevant Calendar Year having [***]), which Credit Amount will be deducted from future payments of Quarterly Collected Revenue to SIGA until the full Credit Amount is retained by MMT.']",Yes,"['Upon termination of this Agreement pursuant to this ARTICLE 11, for all Customer Contracts then in force in the Territory, MMT shall either (i) promptly exercise its rights to terminate such Customer Contracts pursuant to termination rights accruing from the occurrence of a termination of this Agreement or otherwise or (ii) upon timely written request of SIGA, use Commercially Reasonable Efforts to assign any Customer Contract identified in such notice then in force to SIGA.', 'Promoter will maintain a record of each Safety Report received, including relevant source documents, and a record of each Safety Report reported to SIGA for a minimum period of ten (10) years after the expiration or termination of this Agreement and, if requested, will provide these and any other information requested by SIGA.']",New York Law,None
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,['RESELLER AGREEMENT'],  RESELLER AGREEMENT,"['Bravatek Solutions, Inc.', 'the company set forth below (""Company"") (each, individually, a ""party"" and collectively, ""parties""):', 'i3 ICS', 'Reseller', 'i3 Integrative Creative Solutions, LLC', 'BVTK']","i3 Integrative Creative Solutions, LLC (""i3 ICS"", ""Reseller""); Bravatek Solutions, Inc. (""BVTK"", ""Company"")(""party"" and collectively ""parties"")","['7th day of April, 2017']",4/7/17,[],,['Contract is renewable for 1 year extension by amendment to this agreement.'],1 year,['This Agreement shall be governed by and construed under the laws of the Commonwealth of Virginia without regard to the conflicts of law provisions thereof.'],Virginia,['Either Party may terminate this agreement for non-cause with a sixty (60) written notice.'],Yes,"['During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.']",Yes,"[""25% of Net Revenue (as defined in Section 1e.) with a COMPANY-RESELLER AGREED UPON SALE PRICE in writing, the case of COMPANY's software products.""]",Yes,"['During the Term hereof and for a period of six (6) months following the termination of this Agreement or the discontinuation of any of the Company Products, (i) the Reseller shall have the exclusive right to commission for any Registered Referrals, (ii) the Company shall not market, promote, sell, or distribute Company Products or solicit or procure orders for the Company Products, or for any product(s) or service(s) similar to the Company Products, in the Territory other than through the Reseller and pursuant to this Agreement, except with the prior written consent of the Reseller, and (iii) without limitation to the foregoing, the Company shall not, directly or through other parties (whether agents, representatives, intermediaries, resellers or other parties), market, promote, sell, distribute, solicit or procure orders to any existing or prospective customer of the Reseller.']",Common Law (Contract Law),The Expiration Date of the agreement is not provided in the details.
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,['WALABOT-HOME RESELLER AGREEMENT'],WALABOT-HOME RESELLER AGREEMENT,"['Inde Living Holdings, Inc.', 'Reseller', 'Vayyar Imaging Ltd.', 'Vayyar and Reseller shall be referred to individually as ""Party"" and collectively as ""Parties"".', 'Supplier']","Vayyar Imaging Ltd. (""Supplier""); IndeLiving Holdings, Inc. (""Reseller"")(""Party"" and collectively as ""Parties"")",['31 day of July 2019'],7/31/19,"['This Agreement shall become effective on the Effective Date and shall remain in effect for an initial period of 1 year (""Initial Term"").']",7/31/20,"['Thereafter, this Agreement shall automatically be renewed for successive 1-year terms (each a ""Renewal Term"", and together with the Initial Term, the ""Term"").']",successive 1 year,"['This Agreement shall be governed by the laws of the State of New York and all disputes and controversies arising out of or in connection with the Agreement shall be brought exclusively before the competent courts in New York County, New York; provided however that judgment shall be enforceable in any country and that nothing in this Section shall prevent or restrict either Party from seeking interim relief in any competent jurisdiction as it may deem fit.']",New York,"['Following the Initial Term, either Party may terminate this Agreement without cause upon written notice to the other Party of at least 3 months.']",Yes,[],No,[],No,"[""In addition to the foregoing, if, at the time of termination of this Agreement, Reseller shall have additional Product units in its inventory and is able to sell them to Customers and/or End Users (including, without limitation, any Product units for which Reseller has or is obligated to pay the Supplier the purchase price therefor but which have not yet been delivered to the Reseller by Supplier, which Supplier hereby agrees to either deliver as otherwise contemplated by this Agreement as if it had not terminated or to refund the purchase price therefor), then the licenses and appointments described in Section 2 shall remain in effect with respect to such unsold Product units (and such Section 2 shall not terminate) until the earlier of (i) the date on which the last Product in Reseller's inventory is sold to a Customer and/or End User, or (ii) 1 year from the date of the termination of this Agreement.""]",Contract Act,None
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,['LICENSE AND RESELLER AGREEMENT'],LICENSE AND RESELLER AGREEMENT,"['EHAVE, INC.', 'COMPANION HEALTHCARE TECHNOLOGIES CORP', 'Ehave', 'CHT']","EHAVE, INC. (""Ehave""); COMPANION HEALTHCARE TECHNOLOGIES CORP (""CHT"")","['October 30, 2018']",10/30/18,"['This term of this Agreement and the rights and obligations of the Parties hereto shall commence as of the Effective Date and shall continue in perpetuity (the ""Term""), unless terminated earlier in accordance with the provisions contained herein.']",Perpetual,[],,"['This Agreement shall be governed by, and construed and enforced in accordance with, the laws in force in the Province of Ontario (excluding any conflict of laws rule or principle which might refer such construction to the laws of another jurisdiction).']","Ontario, Canada","['In addition, CHT may terminate this Agreement and the rights granted hereunder, in whole or in part, and without prejudice to enforcement of any other legal right or remedy (including any express termination right set forth elsewhere in this Agreement), at any time without cause, by providing at least thirty (30) Business Days prior written notice to Ehave, but subject to payment of a termination fee equal to an amount set out in Schedule 6.']",Yes,"['Notwithstanding anything to the contrary contained herein, the exclusive appointment and license set out in Sections 2(a) and 2(b) shall become non-exclusive if: (i) at any time during the Term hereof, CHT breaches Section 2(d) as determined by arbitration in accordance with Section 19(c) or by a final non-appealable judgment of a court of competent jurisdiction; or (ii) at any time after November 1, 2010 CHT fails to achieve annual revenues of $500,000.', 'Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.', 'Subject to Section 2(e), the foregoing appointment is exclusive such that Ehave shall not appoint any other Person to, nor may Ehave itself, sell or resell the use of the Ehave Companion Solution within the Field of Use anywhere in the Territory.']",Yes,[],No,"['Without limiting the provisions of Section 11, commencing on the delivery of any notice of termination of this Agreement, and continuing through the effective date of termination and for a period of sixty (60) Business Days thereafter (the ""Transition-out Period""), Ehave will, to the extent requested by CHT, provide to CHT (or at CHT\'s request to CHT\'s End User) such reasonable cooperation, assistance and services to facilitate the orderly wind down, transition and migration and transfer of the End User Data from Ehave to CHT (the ""Transition-out Services"").', ""Upon the termination of this Agreement for any reason, subject to and without limiting the provisions of Section 12: (i) the Parties shall implement the Transition-Out Services pursuant to Section 10(f); (ii) at the end of the Transition-out Period (or earlier upon CHT's request) Ehave shall terminate and invalidate any Authentication IDs associated with CHT and any of its End Users; (iii) Ehave shall, but not earlier than twenty (20) Business Days after the later of termination or expiration of this Agreement or the Transition-out Period, destroy any copies of the End User Data contained in the Ehave Companion Solution and certify in writing to CHT that it has done so; (iv) CHT shall pay to Ehave the full amount of all Royalties payable hereunder as of the date of termination, if any, whether already invoiced or not (including any amounts due as late payment charges), and any other monies owing to Ehave hereunder; and (v) each Party will return to the other Party, or at the other Party's written request, destroy, in a secure manner all Confidential Information of the other Party which is then in its possession or control and certify in writing that it has done so.""]","Contract Act, Commercial Code",The renewal term is not specified in the contract details.
SalesforcecomInc_20171122_10-Q_EX-10.1_10961535_EX-10.1_Reseller Agreement.pdf,['FORM OF SUB-RESELLER AGREEMENT'],FORM OF SUB-RESELLER AGREEMENT,"['salesforce.com, inc.', 'Salesforce.org', 'the Reseller named above', '""SFDC"" or ""Salesforce""']","salesforce.com, inc. (""SFDC"", ""Salesforce""); Salesforce.org (""Reseller"")","['This Sub-Reseller Agreement is effective as of the later of the dates beneath the Parties\' signatures below (""Sub-Reseller Effective Date""), provided, however, that the dates of the Parties\' signatures are not separated by a period of time greater than ten (10) business days.']",,[],,[],,[],,[],No,[],No,[],No,[],"Contract Act, Commercial Code",
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,['CHANNEL PARTNER RESELLER AGREEMENT'],CHANNEL PARTNER RESELLER AGREEMENT,"['iPass', 'Channel Partner', 'IPASS INC.', 'Pareteum Corporation']","IPASS INC. (""iPass""); Pareteum Corporation (""Channel Partner"")","['""Effective Date"" means the date of last signature on this Agreement.', '04/25/2018']",4/25/18,"['This Agreement shall commence on the Effective Date and shall continue for a period of twelve (12) full calendar months (""Initial Term"").']",4/25/19,"['The Agreement shall automatically renew for successive one (1) year terms (each a ""Renewal Term"") unless either party provides the other party written notification of its intent to terminate the Agreement no later than sixty (60) days prior to the end of the then applicable term.']",successive 1 year,['The laws of California shall govern the construction and enforceability of the Agreement.'],California,[],No,"['Channel Partner accepts iPass as the exclusive provider to Channel Partner for all services of the nature of the Services. In no event may Channel Partner resell or otherwise provide the Service to any third party for purposes of further ""down channel"" resale of the Services, absent iPass\' notice and consent.']",Yes,[],No,[],'Contract Act',No
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,['SPONSORSHIP AND SERVICES AGREEMENT'],SPONSORSHIP AND SERVICES AGREEMENT,"['Constellation NewEnergy, Inc.', 'on behalf of itself and its retail affiliates and subsidiaries (collectively, ""Constellation"")', '(""PFHOF"" and, together with HOFV, the ""HOF Entities""', 'HOFV', 'National Football Museum, Inc., d/b/a Pro Football Hall of Fame', 'HOF Village, LLC', 'HOFV and/or PFHOF, on the one hand, and Constellation, on the other hand, are referred to herein as a ""Party"" and, collectively, as the ""Parties"".']","HOF Village, LLC (""HOFV"");  National Football Museum, Inc. d/b/a Pro Football Hall of Fame (""PFHOF""(“PFHOF” and, together with HOFV, the “HOF Entities”); Constellation NewEnergy, Inc., on behalf of itself and its retail affiliates and subsidiaries (collectively, “Constellation”); HOFV and/or PFHOF, and Constellation, (“Party” and, collectively, as the “Parties”)",[],,"['The term of this Agreement (the ""Term""), unless mutually extended by written agreement of the Parties or unless sooner terminated as provided herein, shall commence effective as of the date hereof and shall expire on December 31, 2028.']",12/31/28,[],,"['This Agreement shall be governed by and construed in accordance with the laws of the State of Ohio, without reference to principles of conflicts of law.']",Ohio,[],No,"['Provided that Constellation is not then in breach of its obligations pursuant to this Agreement, including without limitation Section 2.1 hereof, and provided that Constellation has available for purchase a product or service which meets the needs of the HOF Entities at competitive market pricing, (a) neither of the HOF Entities shall purchase, at any time during the Term, any commodity electricity or gas from any person or entity other than Constellation and its affiliates and (b) in the event and to the extent mutually agreed by the Parties, neither of the HOF Entities shall grant or award to any company designated by Constellation (and mutually agreeable to the HOF Entities) any project which the Parties mutually agree shall not be granted or awarded to such company']",Yes,[],No,[],'Contract Act',The effective date and any details regarding post-termination services are not provided in the contract details.
